Timestamp,State,LoadType,TargetV,CellV,Current_mA,Charge_mAh,Discharge_mAh
550.0629260540009,WAIT_LOAD,NONE,0.0,2.077,-0.015,0.0,0.0
550.3443353176117,WAIT_LOAD,NONE,0.0,2.08,-0.063,0.0,0.0
550.6387021541595,WAIT_LOAD,NONE,0.0,2.077,-0.034,0.0,0.0
550.6690459251404,WAIT_LOAD,NONE,0.0,2.08,-0.055,0.0,0.0
550.9588634967804,WAIT_LOAD,NONE,0.0,2.083,-0.074,0.0,0.0
551.464047908783,WAIT_LOAD,NONE,0.0,2.075,-0.034,0.0,0.0
551.7465722560883,WAIT_LOAD,NONE,0.0,2.081,-0.059,0.0,0.0
552.0586411952972,WAIT_LOAD,NONE,0.0,2.081,-0.085,0.0,0.0
552.2917301654816,WAIT_LOAD,NONE,0.0,2.079,-0.041,0.0,0.0
552.571929693222,WAIT_LOAD,NONE,0.0,2.078,-0.048,0.0,0.0
552.8939971923828,WAIT_LOAD,NONE,0.0,2.074,0.007,0.0,0.0
553.1480720043182,WAIT_LOAD,NONE,0.0,2.081,-0.074,0.0,0.0
553.4177289009094,WAIT_LOAD,NONE,0.0,2.079,-0.052,0.0,0.0
553.6981871128082,WAIT_LOAD,NONE,0.0,2.08,-0.07,0.0,0.0
554.0134925842285,WAIT_LOAD,NONE,0.0,2.078,-0.055,0.0,0.0
554.2551686763763,WAIT_LOAD,NONE,0.0,2.078,-0.041,0.0,0.0
554.5658841133118,WAIT_LOAD,NONE,0.0,2.079,-0.063,0.0,0.0
554.8401441574097,WAIT_LOAD,NONE,0.0,2.081,-0.099,0.0,0.0
555.1604561805725,WAIT_LOAD,NONE,0.0,2.083,-0.092,0.0,0.0
555.3943719863892,WAIT_LOAD,NONE,0.0,2.079,-0.055,0.0,0.0
555.672835111618,WAIT_LOAD,NONE,0.0,2.076,-0.023,0.0,0.0
555.9554076194763,WAIT_LOAD,NONE,0.0,2.081,-0.092,0.0,0.0
556.2819292545319,WAIT_LOAD,NONE,0.0,2.075,-0.012,0.0,0.0
556.5305032730103,WAIT_LOAD,NONE,0.0,2.074,0.01,0.0,0.0
556.8147711753845,WAIT_LOAD,NONE,0.0,2.08,-0.081,0.0,0.0
557.1330511569977,WAIT_LOAD,NONE,0.0,2.077,-0.07,0.0,0.0
557.3777606487274,WAIT_LOAD,NONE,0.0,2.078,-0.026,0.0,0.0
557.6598973274231,WAIT_LOAD,NONE,0.0,2.08,-0.088,0.0,0.0
557.9402735233307,WAIT_LOAD,NONE,0.0,2.076,-0.03,0.0,0.0
